V,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y
-10.8,7655296.242481746,6.628324036630589e-07,7155832.9668797925,6.365300490789452e-07,7008192.87912324,6.52271544650505e-07,6964214.980642565,6.525344111238057e-07,6433338.920411558,6.412927028055494e-07,6436480.198874463,6.433546382500188e-07
-10.6,7642731.128630124,6.638098677102777e-07,7140126.574565265,6.374343883521165e-07,6995627.765271619,6.531638868393603e-07,6951649.866790944,6.534397644825222e-07,6420773.806559936,6.423019677735353e-07,6423915.085022842,6.443722889738733e-07
-10.4,7630166.014778502,6.649019724344004e-07,7121278.903787833,6.384004508014271e-07,6983062.651419997,6.541217253067954e-07,6935943.474476417,6.544262468556335e-07,6398784.857319599,6.433349741754581e-07,6401926.135782504,6.451061512743201e-07
-10.2,7614459.622463976,6.661593820517466e-07,7096148.67608459,6.394668692223335e-07,6967356.25910547,6.550603932948652e-07,6923378.360624795,6.553482760760607e-07,6392502.300393788,6.444737342061747e-07,6395643.578856694,6.464510293220196e-07
-10.0,7605035.78707526,6.671777661556004e-07,7083583.562232968,6.404307186925305e-07,6954791.145253849,6.560724427733368e-07,6907671.968310269,6.564142348498258e-07,6364230.79422764,6.45523406657145e-07,6370513.351153451,6.471698081581206e-07
-9.8,7592470.673223638,6.6822695277756e-07,7067877.169918442,6.414223363714189e-07,6945367.309865133,6.5706367965738e-07,6895106.854458647,6.574295505420326e-07,6351665.680376018,6.466300345464435e-07,6357948.237301829,6.483254373060754e-07
-9.6,7576764.280909111,6.693571884054204e-07,7049029.4991410095,6.424401511436601e-07,6929660.917550606,6.581172177500576e-07,6876259.183681214,6.585234431961263e-07,6329676.731135681,6.478236497151924e-07,6335959.288061492,6.493415860873959e-07
-9.4,7564199.16705749,6.703373326622223e-07,7027040.549900672,6.432896631778862e-07,6913954.525236079,6.588067273574927e-07,6869976.626755404,6.591673931211606e-07,6329676.731135681,6.486827476340142e-07,6339100.566524397,6.505794457140849e-07
-9.2,7548492.774742963,6.715301323526703e-07,7005051.600660334,6.442887293516427e-07,6898248.132921552,6.596153215910841e-07,6857411.512903783,6.59963843932545e-07,6317111.6172840595,6.496255043095547e-07,6326535.452672776,6.515992593837265e-07
-9.0,7539068.9393542465,6.726392101288817e-07,6992486.4868087135,6.453649494314055e-07,6888824.297532836,6.609061984963681e-07,6832281.285200539,6.613772246969636e-07,6279416.275729195,6.509677723007187e-07,6285698.832655006,6.521739873176765e-07
-8.8,7526503.825502626,6.737045333418582e-07,6976780.094494186,6.463501013937996e-07,6876259.183681214,6.618367018441256e-07,6822857.449811824,6.622972461747089e-07,6276274.99726629,6.520640892205714e-07,6282557.554192101,6.534866678623366e-07
-8.6,7513938.711651004,6.747669815553961e-07,6957932.423716754,6.472746334452639e-07,6860552.791366688,6.627632752450224e-07,6804009.779034391,6.632769428232739e-07,6251144.769563047,6.531076927153547e-07,6257427.326488857,6.541865445448426e-07
-8.4,7498232.319336477,6.75813395503872e-07,6935943.474476417,6.481996872865089e-07,6844846.399052161,6.635012018501854e-07,6797727.22210858,6.639587938272391e-07,6254286.048025952,6.54075335896095e-07,6263709.883414668,6.557935606918759e-07
-8.2,7488808.483947761,6.767333263173486e-07,6920237.082161889,6.490223660520986e-07,6832281.285200539,6.645034164693619e-07,6769455.715942432,6.651109553825239e-07,6213449.428008182,6.55228995268836e-07,6222873.263396898,6.563230352888469e-07
-8.0,7476243.37009614,6.778243296016427e-07,6904530.689847363,6.500041057561912e-07,6819716.171348918,6.652588514388186e-07,6766314.437479527,6.658062147419362e-07,6213449.428008182,6.560595811217735e-07,6222873.263396898,6.574137236160751e-07
-7.8,7466819.534707423,6.789228076143488e-07,6888824.297532836,6.510512325868627e-07,6810292.335960202,6.663775835288549e-07,6750608.045165,6.669921344634783e-07,6194601.75723075,6.573084765444259e-07,6204025.592619467,6.584465871974555e-07
-7.6,7451113.142392896,6.800187365181746e-07,6863694.069829593,6.519284898391863e-07,6791444.665182769,6.669171096079159e-07,6741184.209776284,6.674444420832656e-07,6194601.75723075,6.580123421781645e-07,6207166.871082372,6.596563210704603e-07
-7.4,7441689.307004181,6.810039328539362e-07,6854270.234440877,6.529181273022042e-07,6782020.829794054,6.681216186167874e-07,6722336.538998852,6.68799673649989e-07,6160047.694138791,6.593192415048162e-07,6169471.529527508,6.602690010148933e-07
-7.2,7432265.471615464,6.819281338107355e-07,6838563.84212635,6.537386160477506e-07,6772596.994405338,6.689039273870354e-07,6709771.42514723,6.696156172993844e-07,6144341.301824264,6.602342270649144e-07,6150623.858750075,6.610180553613721e-07
-7.0,7419700.357763843,6.829646771503792e-07,6822857.449811824,6.546822425394552e-07,6760031.880553716,6.697642225166424e-07,6697206.311295609,6.704832918760038e-07,6131776.1879726425,6.611829479710642e-07,6138058.744898453,6.618442760826865e-07
-6.8,7410276.522375126,6.839837013606144e-07,6807151.0574972965,6.555979566777856e-07,6744325.48823919,6.704652128870405e-07,6690923.754369798,6.711108591173875e-07,6134917.466435548,6.620119878686439e-07,6144341.301824264,6.630872919756728e-07
-6.6,7400852.686986411,6.848114054345102e-07,6794585.943645675,6.564255832378038e-07,6738042.931313379,6.714285156030123e-07,6675217.362055271,6.721800682635382e-07,6112928.517195211,6.631414930153973e-07,6122352.352583927,6.639918149504426e-07
-6.4,7388287.573134789,6.858589935341752e-07,6775738.272868243,6.573044907609722e-07,6722336.538998852,6.72067583622328e-07,6665793.526666556,6.727764825188277e-07,6103504.6818064945,6.638740395249315e-07,6112928.517195211,6.647772482533678e-07
-6.2,7378863.737746073,6.868119130044455e-07,6766314.437479527,6.582104679351041e-07,6712912.703610135,6.730517222778082e-07,6650087.134352028,6.738767621779486e-07,6078374.454103252,6.650007339332137e-07,6084657.011029063,6.654389863756978e-07
-6.0,7369439.902357357,6.877017475076608e-07,6750608.045165,6.590477158851974e-07,6703488.86822142,6.739519605152033e-07,6634380.742037501,6.748567589488362e-07,6062668.061788725,6.661010426924915e-07,6065809.34025163,6.664707249968265e-07
-5.8,7356874.788505736,6.885581084545572e-07,6731760.374387568,6.597569260065958e-07,6687782.475906893,6.742876931531147e-07,6631239.463574596,6.750448255129714e-07,6072091.897177441,6.665182965975413e-07,6081515.732566157,6.675188881894368e-07
-5.6,7353733.51004283,6.893079729830723e-07,6728619.095924662,6.605750099390028e-07,6684641.197443987,6.754433905407766e-07,6615533.0712600695,6.76403981467205e-07,6040679.112548388,6.678031028215521e-07,6043820.391011293,6.679756325720521e-07
-5.4,7341168.396191209,6.903570049690318e-07,6712912.703610135,6.61482218830099e-07,6672076.0835923655,6.760130572131405e-07,6612391.792797164,6.768364107287617e-07,6050102.947937103,6.684184658735441e-07,6056385.504862914,6.690598390811386e-07
-5.2,7338027.117728303,6.911124677921938e-07,6709771.42514723,6.623360329861636e-07,6668934.80512946,6.771286402552455e-07,6599826.678945542,6.780832805424133e-07,6031255.277159671,6.696690523418497e-07,6034396.555622577,6.699579938811368e-07
-5.0,7328603.282339587,6.918151894651331e-07,6700347.589758514,6.630099302838598e-07,6659510.969740745,6.778163067133099e-07,6590402.843556826,6.788143086556204e-07,6021831.441770955,6.7047510177408e-07,6024972.72023386,6.706551182967036e-07
-4.8,7319179.4469508715,6.924510706533474e-07,6684641.197443987,6.636020239918878e-07,6650087.134352028,6.783288827632535e-07,6580979.008168111,6.793079585083311e-07,6015548.884845144,6.710633491022326e-07,6015548.884845144,6.711986627651123e-07
-4.6,7316038.168487966,6.929776298699735e-07,6681499.918981082,6.641665699533085e-07,6643804.5774262175,6.790186139973702e-07,6571555.172779394,6.800934329113805e-07,5999842.492530618,6.718900981085597e-07,5999842.492530618,6.718170613730802e-07
-4.4,7309755.611562155,6.935160083324882e-07,6675217.362055271,6.647480518668139e-07,6640663.298963312,6.797594994772304e-07,6562131.337390678,6.809326119953523e-07,5987277.378678996,6.727392410291613e-07,5980994.821753185,6.723311422427302e-07
-4.2,7303473.054636344,6.939741240972165e-07,6662652.24820365,6.65181409943497e-07,6631239.463574596,6.799800792344623e-07,6562131.337390678,6.810123746821608e-07,5999842.492530618,6.729771680945031e-07,6002983.770993523,6.73168021145699e-07
-4.0,7300331.776173439,6.944098306070402e-07,6662652.24820365,6.656872463524015e-07,6631239.463574596,6.806166327164682e-07,6555848.780464867,6.817572710669333e-07,5984136.100216091,6.736890207510203e-07,5980994.821753185,6.735391411797878e-07
-3.8,7294049.219247628,6.948529348820407e-07,6659510.969740745,6.66156144862361e-07,6628098.18511169,6.812671268676758e-07,6546424.945076151,6.82535107925194e-07,5965288.429438659,6.744914711370615e-07,5959005.872512848,6.739354641711255e-07
-3.6,7297190.497710533,6.950763264867904e-07,6662652.24820365,6.665329789670974e-07,6631239.463574596,6.819619281026484e-07,6537001.109687435,6.834061831347045e-07,5946440.758661226,6.75297161310946e-07,5933875.644809605,6.742913541606185e-07
-3.4,7290907.940784723,6.955407912574572e-07,6656369.691277839,6.670172688709091e-07,6624956.906648786,6.823947430271145e-07,6533859.83122453,6.838353074332602e-07,5943299.480198321,6.757696261149148e-07,5930734.366346699,6.747441811343465e-07
-3.2,7290907.940784723,6.95544282021621e-07,6662652.24820365,6.672175464650797e-07,6628098.18511169,6.830071490921214e-07,6524435.995835814,6.846637055975187e-07,5924451.809420888,6.765629870673191e-07,5902462.860180551,6.750599102743828e-07
-3.0,7287766.662321817,6.95835850185041e-07,6659510.969740745,6.676643634299127e-07,6628098.18511169,6.836179450355587e-07,6524435.995835814,6.852853119583598e-07,5927593.087883794,6.772103188197725e-07,5905604.138643457,6.757347469295744e-07
-2.8,7284625.383858913,6.960586589852461e-07,6659510.969740745,6.679870669674242e-07,6624956.906648786,6.840407379733749e-07,6518153.438910003,6.857775225315291e-07,5921310.530957984,6.777168951742236e-07,5899321.581717646,6.762092983020905e-07
-2.6,7281484.105396007,6.959530700613921e-07,6662652.24820365,6.681399338043329e-07,6628098.18511169,6.846342337229382e-07,6511870.881984192,6.86535274388477e-07,5908745.417106362,6.784693348067445e-07,5883615.189403119,6.766836416932882e-07
-2.4,7281484.105396007,6.959341198438795e-07,6665793.526666556,6.683344048190144e-07,6631239.463574596,6.851755289841e-07,6505588.325058381,6.872567354579913e-07,5893039.024791835,6.791596890133924e-07,5858484.961699876,6.769342929830621e-07
-2.2,7281484.105396007,6.960843430742526e-07,6668934.80512946,6.686387324406207e-07,6631239.463574596,6.857303140160061e-07,6499305.768132571,6.87945171207939e-07,5883615.189403119,6.798500697479523e-07,5842778.569385349,6.773458543736105e-07
-2.0,7281484.105396007,6.960764870602838e-07,6672076.0835923655,6.689000457116545e-07,6634380.742037501,6.863795870078821e-07,6493023.21120676,6.887670533137015e-07,5871050.075551498,6.806626471269936e-07,5830213.455533728,6.780036692423317e-07
-1.8,7278342.826933102,6.962779506731838e-07,6672076.0835923655,6.69233345860072e-07,6634380.742037501,6.869926756961444e-07,6480458.0973551385,6.895744067231266e-07,5852202.404774065,6.814978437948693e-07,5801941.949367579,6.783621781608004e-07
